"n","m","total_comparisons","approach","time"
8,30,240,"Sockets (parallel)",3.43605804443359
8,30,240,"Forks (parallel)",0.256170034408569
8,35,280,"Naive (serial)",0.593585968017578
8,35,280,"Vectorised (serial)",0.0194659233093262
8,35,280,"Bitops (serial)",0.0626428127288818
8,35,280,"C++ (serial)",0.0265171527862549
8,35,280,"Sockets (parallel)",2.67335200309753
8,35,280,"Forks (parallel)",0.289278984069824
8,40,320,"Naive (serial)",0.712043046951294
8,40,320,"Vectorised (serial)",0.0145549774169922
8,40,320,"Bitops (serial)",0.0443549156188965
8,40,320,"C++ (serial)",0.0169899463653564
8,40,320,"Sockets (parallel)",3.07150316238403
8,40,320,"Forks (parallel)",0.531363964080811
8,45,360,"Naive (serial)",1.51838684082031
8,45,360,"Vectorised (serial)",0.0188839435577393
8,45,360,"Bitops (serial)",0.0517239570617676
8,45,360,"C++ (serial)",0.0171999931335449
8,45,360,"Sockets (parallel)",2.41274118423462
8,45,360,"Forks (parallel)",0.743403911590576
8,50,400,"Naive (serial)",0.858117818832397
8,50,400,"Vectorised (serial)",0.0166909694671631
8,50,400,"Bitops (serial)",0.0543820858001709
8,50,400,"C++ (serial)",0.0230638980865479
8,50,400,"Sockets (parallel)",3.0151469707489
8,50,400,"Forks (parallel)",0.233555793762207
10,5,50,"Naive (serial)",0.16635799407959
10,5,50,"Vectorised (serial)",0.00285696983337402
10,5,50,"Bitops (serial)",0.00993108749389648
10,5,50,"C++ (serial)",0.00340700149536133
10,5,50,"Sockets (parallel)",2.28063011169434
10,5,50,"Forks (parallel)",0.212187051773071
10,10,100,"Naive (serial)",0.276147842407227
10,10,100,"Vectorised (serial)",0.0075070858001709
10,10,100,"Bitops (serial)",0.0185608863830566
10,10,100,"C++ (serial)",0.00636911392211914
10,10,100,"Sockets (parallel)",2.05791282653809
10,10,100,"Forks (parallel)",0.194571018218994
10,15,150,"Naive (serial)",0.390484094619751
10,15,150,"Vectorised (serial)",0.0144510269165039
10,15,150,"Bitops (serial)",0.0385091304779053
10,15,150,"C++ (serial)",0.0121231079101562
10,15,150,"Sockets (parallel)",2.55379486083984
10,15,150,"Forks (parallel)",0.170524120330811
10,20,200,"Naive (serial)",0.430480003356934
10,20,200,"Vectorised (serial)",0.0126578807830811
10,20,200,"Bitops (serial)",0.0335040092468262
10,20,200,"C++ (serial)",0.0123989582061768
10,20,200,"Sockets (parallel)",2.01312708854675
10,20,200,"Forks (parallel)",0.179802179336548
10,25,250,"Naive (serial)",0.589850902557373
10,25,250,"Vectorised (serial)",0.0137958526611328
10,25,250,"Bitops (serial)",0.0371558666229248
10,25,250,"C++ (serial)",0.0114040374755859
10,25,250,"Sockets (parallel)",2.11305212974548
10,25,250,"Forks (parallel)",0.278381109237671
10,30,300,"Naive (serial)",0.783939838409424
10,30,300,"Vectorised (serial)",0.0176999568939209
10,30,300,"Bitops (serial)",0.0485780239105225
10,30,300,"C++ (serial)",0.0164759159088135
10,30,300,"Sockets (parallel)",2.18262195587158
10,30,300,"Forks (parallel)",0.260411024093628
10,35,350,"Naive (serial)",0.913499116897583
10,35,350,"Vectorised (serial)",0.0145490169525146
10,35,350,"Bitops (serial)",0.0368940830230713
10,35,350,"C++ (serial)",0.0186409950256348
10,35,350,"Sockets (parallel)",3.04849410057068
10,35,350,"Forks (parallel)",0.173238039016724
10,40,400,"Naive (serial)",0.904868125915527
10,40,400,"Vectorised (serial)",0.0204830169677734
10,40,400,"Bitops (serial)",0.054455041885376
10,40,400,"C++ (serial)",0.0243680477142334
10,40,400,"Sockets (parallel)",1.94941020011902
10,40,400,"Forks (parallel)",0.177276849746704
10,45,450,"Naive (serial)",0.979366064071655
10,45,450,"Vectorised (serial)",0.0212628841400146
10,45,450,"Bitops (serial)",0.0614569187164307
10,45,450,"C++ (serial)",0.0207688808441162
10,45,450,"Sockets (parallel)",1.90585708618164
10,45,450,"Forks (parallel)",0.189617156982422
10,50,500,"Naive (serial)",1.02814197540283
10,50,500,"Vectorised (serial)",0.0253100395202637
10,50,500,"Bitops (serial)",0.0659768581390381
10,50,500,"C++ (serial)",0.0210840702056885
10,50,500,"Sockets (parallel)",2.18665385246277
10,50,500,"Forks (parallel)",0.165325880050659
12,5,60,"Naive (serial)",0.15881085395813
12,5,60,"Vectorised (serial)",0.00241804122924805
12,5,60,"Bitops (serial)",0.00763392448425293
12,5,60,"C++ (serial)",0.00249004364013672
12,5,60,"Sockets (parallel)",1.92047786712646
12,5,60,"Forks (parallel)",0.141021013259888
12,10,120,"Naive (serial)",0.21689510345459
12,10,120,"Vectorised (serial)",0.0056920051574707
12,10,120,"Bitops (serial)",0.0139918327331543
12,10,120,"C++ (serial)",0.00496411323547363
12,10,120,"Sockets (parallel)",2.38827204704285
12,10,120,"Forks (parallel)",0.162852048873901
12,15,180,"Naive (serial)",0.326010942459106
12,15,180,"Vectorised (serial)",0.00836491584777832
12,15,180,"Bitops (serial)",0.0319480895996094
12,15,180,"C++ (serial)",0.0119509696960449
12,15,180,"Sockets (parallel)",1.97991800308228
12,15,180,"Forks (parallel)",0.167306900024414
12,20,240,"Naive (serial)",0.433271169662476
12,20,240,"Vectorised (serial)",0.00910282135009766
12,20,240,"Bitops (serial)",0.0335550308227539
12,20,240,"C++ (serial)",0.0129249095916748
12,20,240,"Sockets (parallel)",1.96703910827637
12,20,240,"Forks (parallel)",0.158463954925537
12,25,300,"Naive (serial)",0.587273120880127
12,25,300,"Vectorised (serial)",0.0172989368438721
12,25,300,"Bitops (serial)",0.045569896697998
12,25,300,"C++ (serial)",0.0160171985626221
12,25,300,"Sockets (parallel)",1.92277002334595
12,25,300,"Forks (parallel)",0.165885925292969
12,30,360,"Naive (serial)",0.651795864105225
12,30,360,"Vectorised (serial)",0.0221660137176514
12,30,360,"Bitops (serial)",0.0425698757171631
12,30,360,"C++ (serial)",0.0203750133514404
12,30,360,"Sockets (parallel)",2.02581286430359
12,30,360,"Forks (parallel)",0.161262035369873
12,35,420,"Naive (serial)",0.782478094100952
12,35,420,"Vectorised (serial)",0.0160949230194092
12,35,420,"Bitops (serial)",0.0527718067169189
12,35,420,"C++ (serial)",0.0260610580444336
12,35,420,"Sockets (parallel)",1.91356706619263
12,35,420,"Forks (parallel)",0.163657903671265
12,40,480,"Naive (serial)",0.84610390663147
12,40,480,"Vectorised (serial)",0.0211880207061768
12,40,480,"Bitops (serial)",0.0684938430786133
12,40,480,"C++ (serial)",0.0199120044708252
12,40,480,"Sockets (parallel)",2.17134881019592
12,40,480,"Forks (parallel)",0.176446914672852
12,45,540,"Naive (serial)",0.957880020141602
12,45,540,"Vectorised (serial)",0.0226259231567383
12,45,540,"Bitops (serial)",0.0827131271362305
12,45,540,"C++ (serial)",0.0264198780059814
12,45,540,"Sockets (parallel)",1.89307403564453
12,45,540,"Forks (parallel)",0.169162034988403
12,50,600,"Naive (serial)",1.11951303482056
12,50,600,"Vectorised (serial)",0.0268049240112305
12,50,600,"Bitops (serial)",0.0845251083374023
12,50,600,"C++ (serial)",0.0253810882568359
12,50,600,"Sockets (parallel)",1.85416007041931
12,50,600,"Forks (parallel)",0.170192003250122
14,5,70,"Naive (serial)",0.16386890411377
14,5,70,"Vectorised (serial)",0.00342798233032227
14,5,70,"Bitops (serial)",0.0111429691314697
14,5,70,"C++ (serial)",0.00424790382385254
14,5,70,"Sockets (parallel)",1.87043809890747
14,5,70,"Forks (parallel)",0.152204036712646
14,10,140,"Naive (serial)",0.397842884063721
14,10,140,"Vectorised (serial)",0.00835204124450684
14,10,140,"Bitops (serial)",0.0214300155639648
14,10,140,"C++ (serial)",0.00864195823669434
14,10,140,"Sockets (parallel)",2.01158618927002
14,10,140,"Forks (parallel)",0.155158996582031
14,15,210,"Naive (serial)",0.435311794281006
14,15,210,"Vectorised (serial)",0.0159790515899658
14,15,210,"Bitops (serial)",0.0500140190124512
14,15,210,"C++ (serial)",0.0160181522369385
14,15,210,"Sockets (parallel)",3.91835498809814
14,15,210,"Forks (parallel)",0.312844038009644
14,20,280,"Naive (serial)",0.538321018218994
14,20,280,"Vectorised (serial)",0.0166840553283691
14,20,280,"Bitops (serial)",0.0487260818481445
14,20,280,"C++ (serial)",0.0205399990081787
14,20,280,"Sockets (parallel)",2.0740659236908
14,20,280,"Forks (parallel)",0.280853033065796
14,25,350,"Naive (serial)",0.956219911575317
14,25,350,"Vectorised (serial)",0.0131289958953857
14,25,350,"Bitops (serial)",0.0437970161437988
14,25,350,"C++ (serial)",0.0190019607543945
14,25,350,"Sockets (parallel)",2.09769296646118
14,25,350,"Forks (parallel)",0.181562900543213
14,30,420,"Naive (serial)",0.955526113510132
14,30,420,"Vectorised (serial)",0.0217299461364746
14,30,420,"Bitops (serial)",0.0459370613098145
14,30,420,"C++ (serial)",0.0176229476928711
14,30,420,"Sockets (parallel)",2.16297912597656
14,30,420,"Forks (parallel)",0.171941995620728
14,35,490,"Naive (serial)",1.0268669128418
14,35,490,"Vectorised (serial)",0.0245888233184814
14,35,490,"Bitops (serial)",0.0768978595733643
14,35,490,"C++ (serial)",0.0261328220367432
14,35,490,"Sockets (parallel)",2.44442892074585
14,35,490,"Forks (parallel)",0.190871000289917
14,40,560,"Naive (serial)",1.19652199745178
14,40,560,"Vectorised (serial)",0.0269200801849365
14,40,560,"Bitops (serial)",0.101329803466797
14,40,560,"C++ (serial)",0.0238900184631348
14,40,560,"Sockets (parallel)",2.14903998374939
14,40,560,"Forks (parallel)",0.20356011390686
14,45,630,"Naive (serial)",1.16594195365906
14,45,630,"Vectorised (serial)",0.0272691249847412
14,45,630,"Bitops (serial)",0.0898489952087402
14,45,630,"C++ (serial)",0.0325899124145508
14,45,630,"Sockets (parallel)",1.98680710792542
14,45,630,"Forks (parallel)",0.185102939605713
14,50,700,"Naive (serial)",1.52264881134033
14,50,700,"Vectorised (serial)",0.0348920822143555
14,50,700,"Bitops (serial)",0.103283166885376
14,50,700,"C++ (serial)",0.0416557788848877
14,50,700,"Sockets (parallel)",2.05289506912231
14,50,700,"Forks (parallel)",0.216125011444092
16,5,80,"Naive (serial)",0.193962812423706
16,5,80,"Vectorised (serial)",0.0039060115814209
16,5,80,"Bitops (serial)",0.0131001472473145
16,5,80,"C++ (serial)",0.00433206558227539
16,5,80,"Sockets (parallel)",2.23387289047241
16,5,80,"Forks (parallel)",0.185809135437012
16,10,160,"Naive (serial)",0.322572946548462
16,10,160,"Vectorised (serial)",0.00787997245788574
16,10,160,"Bitops (serial)",0.0308139324188232
16,10,160,"C++ (serial)",0.0107619762420654
16,10,160,"Sockets (parallel)",2.62863206863403
16,10,160,"Forks (parallel)",0.201933145523071
16,15,240,"Naive (serial)",0.621863126754761
16,15,240,"Vectorised (serial)",0.0150668621063232
16,15,240,"Bitops (serial)",0.0432329177856445
16,15,240,"C++ (serial)",0.0127360820770264
16,15,240,"Sockets (parallel)",2.38986802101135
16,15,240,"Forks (parallel)",0.198665142059326
16,20,320,"Naive (serial)",0.770277976989746
16,20,320,"Vectorised (serial)",0.0184171199798584
16,20,320,"Bitops (serial)",0.0532240867614746
16,20,320,"C++ (serial)",0.0148072242736816
16,20,320,"Sockets (parallel)",2.09057998657227
16,20,320,"Forks (parallel)",0.176750898361206
16,25,400,"Naive (serial)",0.8214271068573
16,25,400,"Vectorised (serial)",0.0238418579101562
16,25,400,"Bitops (serial)",0.0544400215148926
16,25,400,"C++ (serial)",0.0213332176208496
16,25,400,"Sockets (parallel)",2.07831287384033
16,25,400,"Forks (parallel)",0.315593004226685
16,30,480,"Naive (serial)",1.17726898193359
16,30,480,"Vectorised (serial)",0.0274159908294678
16,30,480,"Bitops (serial)",0.0846478939056396
16,30,480,"C++ (serial)",0.0310618877410889
16,30,480,"Sockets (parallel)",2.03400707244873
16,30,480,"Forks (parallel)",0.200362920761108
16,35,560,"Naive (serial)",1.07199287414551
16,35,560,"Vectorised (serial)",0.0230929851531982
16,35,560,"Bitops (serial)",0.0939900875091553
16,35,560,"C++ (serial)",0.0262160301208496
16,35,560,"Sockets (parallel)",2.16232204437256
16,35,560,"Forks (parallel)",0.200239181518555
16,40,640,"Naive (serial)",1.23751020431519
16,40,640,"Vectorised (serial)",0.0343039035797119
16,40,640,"Bitops (serial)",0.117854118347168
16,40,640,"C++ (serial)",0.0312590599060059
16,40,640,"Sockets (parallel)",2.32575607299805
16,40,640,"Forks (parallel)",0.278199911117554
16,45,720,"Naive (serial)",1.30354785919189
16,45,720,"Vectorised (serial)",0.0468380451202393
16,45,720,"Bitops (serial)",0.189004182815552
16,45,720,"C++ (serial)",0.0476939678192139
16,45,720,"Sockets (parallel)",3.2396080493927
16,45,720,"Forks (parallel)",0.342483043670654
16,50,800,"Naive (serial)",1.89671897888184
16,50,800,"Vectorised (serial)",0.0439109802246094
16,50,800,"Bitops (serial)",0.132515907287598
16,50,800,"C++ (serial)",0.0529410839080811
16,50,800,"Sockets (parallel)",2.11926889419556
16,50,800,"Forks (parallel)",0.228514909744263
18,5,90,"Naive (serial)",0.310080051422119
18,5,90,"Vectorised (serial)",0.00535488128662109
18,5,90,"Bitops (serial)",0.0164661407470703
18,5,90,"C++ (serial)",0.00692486763000488
18,5,90,"Sockets (parallel)",2.10100412368774
18,5,90,"Forks (parallel)",0.168377161026001
18,10,180,"Naive (serial)",0.536080121994019
18,10,180,"Vectorised (serial)",0.0093848705291748
18,10,180,"Bitops (serial)",0.0275609493255615
18,10,180,"C++ (serial)",0.00951194763183594
18,10,180,"Sockets (parallel)",2.27174782752991
18,10,180,"Forks (parallel)",0.202116012573242
18,15,270,"Naive (serial)",0.55462908744812
18,15,270,"Vectorised (serial)",0.0162439346313477
18,15,270,"Bitops (serial)",0.0389659404754639
18,15,270,"C++ (serial)",0.0136549472808838
18,15,270,"Sockets (parallel)",2.11536478996277
18,15,270,"Forks (parallel)",0.196595907211304
18,20,360,"Naive (serial)",0.781006813049316
18,20,360,"Vectorised (serial)",0.0168089866638184
18,20,360,"Bitops (serial)",0.0518760681152344
18,20,360,"C++ (serial)",0.0181319713592529
18,20,360,"Sockets (parallel)",2.51562690734863
18,20,360,"Forks (parallel)",0.187742948532104
18,25,450,"Naive (serial)",0.885280847549438
18,25,450,"Vectorised (serial)",0.0197930335998535
18,25,450,"Bitops (serial)",0.0605731010437012
18,25,450,"C++ (serial)",0.0220680236816406
18,25,450,"Sockets (parallel)",2.68094706535339
18,25,450,"Forks (parallel)",0.185863971710205
18,30,540,"Naive (serial)",1.06457710266113
18,30,540,"Vectorised (serial)",0.0267219543457031
18,30,540,"Bitops (serial)",0.0795919895172119
18,30,540,"C++ (serial)",0.0397899150848389
18,30,540,"Sockets (parallel)",2.01800107955933
18,30,540,"Forks (parallel)",0.174871921539307
18,35,630,"Naive (serial)",1.20936393737793
18,35,630,"Vectorised (serial)",0.025062084197998
18,35,630,"Bitops (serial)",0.0836601257324219
18,35,630,"C++ (serial)",0.0252249240875244
18,35,630,"Sockets (parallel)",1.87260890007019
18,35,630,"Forks (parallel)",0.186229944229126
18,40,720,"Naive (serial)",1.31143808364868
18,40,720,"Vectorised (serial)",0.0344090461730957
18,40,720,"Bitops (serial)",0.138683080673218
18,40,720,"C++ (serial)",0.0406179428100586
18,40,720,"Sockets (parallel)",2.06661891937256
18,40,720,"Forks (parallel)",0.284237146377563
18,45,810,"Naive (serial)",1.66794109344482
18,45,810,"Vectorised (serial)",0.0460350513458252
18,45,810,"Bitops (serial)",0.136857032775879
18,45,810,"C++ (serial)",0.0463719367980957
18,45,810,"Sockets (parallel)",2.14611506462097
18,45,810,"Forks (parallel)",0.196639060974121
18,50,900,"Naive (serial)",1.74790906906128
18,50,900,"Vectorised (serial)",0.0489659309387207
18,50,900,"Bitops (serial)",0.114907026290894
18,50,900,"C++ (serial)",0.0438258647918701
18,50,900,"Sockets (parallel)",2.11137509346008
18,50,900,"Forks (parallel)",0.215265035629272
20,5,100,"Naive (serial)",0.257514953613281
20,5,100,"Vectorised (serial)",0.00510287284851074
20,5,100,"Bitops (serial)",0.0158998966217041
20,5,100,"C++ (serial)",0.00561690330505371
20,5,100,"Sockets (parallel)",2.17076277732849
20,5,100,"Forks (parallel)",0.156404972076416
20,10,200,"Naive (serial)",0.523236036300659
20,10,200,"Vectorised (serial)",0.00976204872131348
20,10,200,"Bitops (serial)",0.0276820659637451
20,10,200,"C++ (serial)",0.0121400356292725
20,10,200,"Sockets (parallel)",1.92305517196655
20,10,200,"Forks (parallel)",0.182372093200684
20,15,300,"Naive (serial)",0.783588886260986
20,15,300,"Vectorised (serial)",0.0804789066314697
20,15,300,"Bitops (serial)",0.0652930736541748
20,15,300,"C++ (serial)",0.0213570594787598
20,15,300,"Sockets (parallel)",2.17954897880554
20,15,300,"Forks (parallel)",0.17901611328125
20,20,400,"Naive (serial)",0.76029109954834
20,20,400,"Vectorised (serial)",0.0151979923248291
20,20,400,"Bitops (serial)",0.0513482093811035
20,20,400,"C++ (serial)",0.0175189971923828
20,20,400,"Sockets (parallel)",2.06609511375427
20,20,400,"Forks (parallel)",0.219446182250977
20,25,500,"Naive (serial)",0.90215015411377
20,25,500,"Vectorised (serial)",0.0241458415985107
20,25,500,"Bitops (serial)",0.0678908824920654
20,25,500,"C++ (serial)",0.0237448215484619
20,25,500,"Sockets (parallel)",2.11992406845093
